,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,12,5,7,.417,-3.38,0.62,,0,2,,2,3,,1,3,,909,902,,73.8,100.8,.450,.336,.550,53.1,45.9,9.3,7.8,.509,19.3,30.6,.319
2,Air Force,12,7,5,.583,-4.33,-8.50,,,,,4,3,,3,1,,830,780,,65.9,97.6,.322,.374,.518,51.2,50.2,8.5,9.7,.482,17.9,28.0,.231
3,Akron,11,8,3,.727,3.30,0.52,,,,,5,0,,2,1,,861,735,,68.4,96.6,.242,.354,.522,45.0,52.0,11.4,6.4,.505,17.5,24.9,.153
4,Alabama,12,7,5,.583,24.56,9.89,,,,,6,1,,0,1,,1106,930,,73.9,104.8,.382,.358,.535,46.2,43.5,9.4,11.3,.496,14.6,28.9,.273
5,Alabama A&M,12,1,11,.083,-18.59,-0.51,,,,,1,2,,0,8,,837,1054,,74.2,117.1,.492,.428,.606,54.1,61.7,12.1,8.0,.565,17.0,35.9,.365
6,Alabama State,11,4,7,.364,-7.88,6.23,,,,,2,1,,0,6,,794,837,,72.7,103.6,.414,.471,.538,50.4,59.5,8.9,9.0,.497,16.4,29.1,.294
7,Albany (NY),13,7,6,.538,-6.31,-5.06,,,,,5,0,,2,5,,998,974,,74.8,100.2,.336,.280,.512,49.1,45.5,9.4,10.8,.473,14.7,30.1,.240
8,Alcorn State,13,1,12,.077,-14.84,7.08,,,,,1,0,,0,12,,888,1143,,71.4,123.2,.413,.520,.624,53.4,69.0,9.3,11.2,.596,14.4,32.6,.300
9,American,12,5,7,.417,-9.21,-4.58,,,,,4,1,,1,6,,871,893,,65.1,113.2,.327,.430,.585,47.9,50.6,7.4,8.6,.564,14.2,27.1,.226
10,Appalachian State,12,9,3,.750,5.32,-1.99,,,,,5,0,,1,2,,955,768,,70.3,90.0,.266,.388,.453,46.5,44.0,7.4,5.5,.420,14.1,25.8,.179
11,Arizona,11,9,2,.818,32.41,10.13,,,,,6,0,,1,0,,1018,773,,76.0,90.4,.243,.394,.499,40.4,50.9,9.8,5.7,.473,17.8,20.6,.165
12,Arizona State,11,6,5,.545,3.81,6.44,,,,,5,0,,0,1,,736,765,,71.5,97.2,.227,.395,.496,54.7,55.4,9.0,5.8,.472,16.9,31.3,.155
13,Arkansas,12,8,4,.667,9.23,4.15,,,,,7,1,,0,0,,964,903,,72.5,101.7,.362,.354,.513,48.0,48.6,9.2,4.0,.475,13.6,27.0,.252
14,Arkansas State,12,4,8,.333,-3.32,0.35,,,,,2,1,,1,6,,891,935,,71.9,108.3,.438,.277,.543,49.1,44.7,12.2,14.7,.494,12.9,29.6,.324
15,Arkansas-Pine Bluff,13,5,8,.385,-17.25,4.19,,,,,4,1,,1,7,,1130,1161,,77.4,115.3,.343,.406,.592,53.2,62.7,9.1,12.5,.564,15.4,32.1,.249
16,Army,12,3,9,.250,-13.45,-7.36,,,,,2,4,,1,5,,742,774,,65.8,97.1,.339,.396,.528,48.2,52.6,10.9,11.0,.494,16.7,22.2,.239
17,Auburn,11,9,2,.818,18.07,1.61,,,,,5,0,,0,1,,914,733,,71.6,93.0,.397,.330,.493,45.5,42.4,9.4,6.7,.436,17.2,26.8,.301
18,Austin Peay,14,7,7,.500,-6.65,-1.20,,,,,5,1,,1,5,,939,900,,65.3,98.4,.358,.426,.514,50.5,57.0,6.9,6.0,.477,17.3,28.9,.247
19,Ball State,12,8,4,.667,-5.50,-4.10,,,,,7,0,,1,3,,900,812,,68.1,99.4,.267,.346,.532,46.4,49.8,8.7,7.5,.508,16.6,24.6,.183
20,Baylor,12,10,2,.833,20.59,1.23,,,,,7,0,,0,0,,1061,822,,70.0,97.9,.291,.321,.518,43.9,50.2,9.8,10.3,.482,17.0,29.2,.215
21,Bellarmine,14,4,10,.286,-8.43,5.76,,,,,3,2,,1,8,,942,1004,,68.3,105.0,.238,.419,.540,52.5,52.7,7.9,10.3,.517,15.3,28.7,.169
22,Belmont,13,9,4,.692,-0.48,0.27,,2,0,,5,0,,3,3,,1054,1029,,73.6,106.4,.243,.391,.539,51.7,52.8,9.9,8.1,.519,14.7,30.7,.166
23,Bethune-Cookman,11,5,6,.455,-13.56,-6.67,,,,,4,0,,1,4,,826,780,,75.1,94.4,.464,.390,.528,50.4,52.0,11.0,5.9,.480,22.9,33.0,.329
24,Binghamton,12,7,5,.583,-8.89,-4.62,,,,,5,0,,2,5,,877,870,,70.0,103.6,.306,.379,.516,47.6,47.2,9.8,11.6,.485,12.5,27.0,.212
25,Boise State,12,8,4,.667,11.10,7.30,,,,,6,0,,0,1,,901,790,,68.6,95.9,.283,.334,.519,45.7,45.9,8.0,9.7,.487,16.5,22.4,.204
26,Boston College,12,9,3,.750,8.98,0.40,,0,1,,6,1,,2,0,,953,850,,70.0,100.2,.262,.374,.524,48.1,49.5,7.7,8.2,.488,16.1,26.2,.202
27,Boston University,12,4,8,.333,-9.89,-4.70,,,,,2,2,,2,6,,783,799,,67.9,98.0,.364,.425,.530,48.2,51.3,10.1,7.8,.495,15.7,19.8,.255
28,Bowling Green State,12,9,3,.750,-1.53,-5.33,,,,,6,1,,1,1,,888,781,,71.5,91.0,.229,.330,.480,47.8,43.1,9.4,10.2,.458,16.3,24.7,.149
29,Bradley,12,7,5,.583,3.65,2.06,,0,2,,4,2,,1,2,,865,846,,67.7,102.1,.362,.359,.505,51.4,44.3,11.9,6.8,.464,14.8,33.4,.256
30,Brigham Young,12,11,1,.917,28.29,-0.80,,,,,8,0,,0,1,,1081,732,,71.0,85.9,.229,.343,.470,40.9,48.4,8.1,5.1,.445,16.9,19.4,.151
31,Brown,13,4,9,.308,-8.48,-3.23,,,,,2,2,,1,5,,907,929,,70.1,100.0,.336,.365,.532,48.3,51.2,9.6,11.6,.505,16.9,25.6,.223
32,Bryant,14,8,6,.571,-3.73,-0.82,,,,,4,1,,3,5,,1115,1055,,76.1,97.2,.343,.350,.477,54.6,50.3,9.4,9.1,.438,14.1,32.3,.233
33,Bucknell,12,3,9,.250,-8.59,1.41,,,,,1,3,,2,6,,747,867,,65.0,111.2,.277,.452,.571,52.8,61.5,11.2,11.2,.548,14.4,29.7,.197
34,Buffalo,11,1,10,.091,-12.65,2.65,,,,,1,4,,0,4,,744,891,,72.0,112.5,.299,.381,.574,48.6,56.0,12.8,10.2,.557,13.4,28.0,.196
35,Butler,13,10,3,.769,14.44,3.19,,1,1,,8,0,,0,2,,1081,920,,70.0,97.5,.209,.391,.496,48.2,49.0,9.7,10.5,.475,15.1,29.4,.141
36,Cal Poly,12,4,8,.333,-11.54,-2.35,,,,,3,1,,0,6,,781,864,,65.8,106.0,.422,.351,.538,53.5,46.4,8.6,8.8,.498,15.4,32.6,.296
